ID,DATE1,Fire Year,Location,Landscape,Soil,Rainfall (mm),SEASON,REPLICATE,FREQUENCY,PLOT_NO,FMCDRYW ,FUEL LOAD (kg/ha) ,AIRTEMP,RH (%),WIND (m/s),PLOTROS,MEDIAN FUELLOAD (kg/m2),Heat Yeild,PLOTFI MEDIAN FL,% OF PLOT BURNT,TYPE OF BURN,SUCCESS OF FIRE
2120,1/20/83,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,MARHEYA,3,8,34.00,3413,35.6,36.0,4.0,0.42,0.3413,16890,2421,80,clean,successful
2291,1/21/83,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,SATARA,2,3,21.90,2184,34.0,41.0,4.0,0.42,0.2184,16890,1549,50,dirty,unsuccessful
2298,1/21/83,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,SATARA,3,8,28.00,3170,36.0,34.0,2.1,0.43,0.3170,16890,2319,80,moderate,successful
2486,1/27/83,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Dec,NUMBI,3,8,56.00,4477,28.0,51.0,1.0,0.31,0.4477,16890,2330,100,clean,highly
2682,1/27/83,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Dec,SHABENI,3,8,77.00,5527,26.0,62.0,4.0,0.31,0.5527,16890,2877,80,moderate,successful
2508,3/7/83,1983,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,NUMBI,2,3,57.00,3647,33.0,45.0,1.5,0.03,0.3647,16890,185,15,dirty,unsuccessful
2694,3/7/83,1983,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,SHABENI,2,4,76.00,4020,32.5,52.0,2.0,0.29,0.4020,16890,1972,70,moderate,successful
2876,3/7/83,1983,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,KAMBENI,2,4,85.00,3647,29.0,71.0,1.8,0.20,0.3647,16890,1232,60,dirty,successful
3078,3/7/83,1983,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,FAYI,2,6,76.00,2135,28.0,77.0,1.2,0.20,0.2135,16890,721,50,patchy,unsuccessful
47,5/6/86,1986,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,DZOMBO,2,2,180.00,4163,23.5,35.5,1.6,0.31,0.4163,16890,2180,50,dirty,successful
126,5/7/86,1986,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,MOOIPLAAS,2,6,141.00,2471,22.0,58.0,1.6,0.31,0.2471,16890,1300,20,dirty,unsuccessful
742,8/6/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,2,1,19.00,2563,28.0,13.3,2.1,0.50,0.2563,16890,2179,100,clean,highly
