"","MFRI","MAP_mm","FF"
"1599",67,405.44011793158,0.0149253731343284
"1600",67,405.791212353359,0.0149253731343284
"1601",67,405.444146915852,0.0149253731343284
"1602",67,406.338179883629,0.0149253731343284
"1715",16.75,450.305206820855,0.0597014925373134
"1716",16.75,448.580081013407,0.0597014925373134
"1717",22.333,450.581091266908,0.0447767877132495
"1718",22.333,455.633642505636,0.0447767877132495
"1719",22.333,459.085554139303,0.0447767877132495
"1720",33.5,465.755294931601,0.0298507462686567
"1721",67,479.602782735043,0.0149253731343284
"1722",67,485.497901753895,0.0149253731343284
"1723",67,486.940683651348,0.0149253731343284
"1724",67,479.36648349539,0.0149253731343284
"1725",67,455.000437530233,0.0149253731343284
"1726",67,429.777967852205,0.0149253731343284
"1727",67,414.758104917114,0.0149253731343284
"1728",67,417.341455022121,0.0149253731343284
"1729",67,415.95591762228,0.0149253731343284
"1730",67,413.580733014887,0.0149253731343284
"1731",33.5,412.989165445197,0.0298507462686567
"1732",67,412.584654044516,0.0149253731343284
"1733",67,410.589886242996,0.0149253731343284
"1734",67,408.89168217988,0.0149253731343284
"1735",67,408.965565850907,0.0149253731343284
"1736",67,409.468087456912,0.0149253731343284
"1737",67,406,0.0149253731343284
"1738",67,405.866620581792,0.0149253731343284
"1739",22.333,404.89353095993,0.0447767877132495
"1740",67,403.836497702366,0.0149253731343284
"1741",67,404.919519055876,0.0149253731343284
"1742",33.5,403.896291655098,0.0298507462686567
"1743",13.4,405.657035446676,0.0746268656716418
"1856",16.75,443.161407732868,0.0597014925373134
"1857",16.75,446.178683711778,0.0597014925373134
"1858",22.333,448.972088992134,0.0447767877132495
"1859",33.5,456.685729572399,0.0298507462686567
"1860",33.5,461.767544395268,0.0298507462686567
"1861",33.5,460.885067302396,0.0298507462686567
"1862",67,475.016204553373,0.0149253731343284
"1863",67,489.147643533499,0.0149253731343284
"1864",33.5,488.415780004935,0.0298507462686567
"1865",33.5,470.054855535222,0.0298507462686567
"1866",33.5,443.474993058168,0.0298507462686567
"1867",33.5,430.114305903878,0.0298507462686567
"1868",11.167,431.583157475771,0.0895495656846064
"1869",11.167,448.252645903627,0.0895495656846064
"1870",11.167,440.694448018373,0.0895495656846064
"1871",11.167,425.021792762869,0.0895495656846064
"1872",9.571,417.399492395349,0.104482290251802
"1873",67,416.19303232893,0.0149253731343284
"1874",16.75,417.247196448868,0.0597014925373134
"1875",16.75,415.783919357268,0.0597014925373134
"1876",67,413.526530711271,0.0149253731343284
"1877",33.5,411.45953773723,0.0298507462686567
"1878",33.5,407.834439465856,0.0298507462686567
"1879",33.5,406.99999544734,0.0298507462686567
"1880",33.5,405.906163425769,0.0298507462686567
"1881",33.5,405.797598880048,0.0298507462686567
"1882",33.5,405.744838411511,0.0298507462686567
"1883",33.5,404.976886966544,0.0298507462686567
"1884",16.75,403.879759785403,0.0597014925373134
"1997",16.75,435.64214124738,0.0597014925373134
"1998",33.5,431.566616035724,0.0298507462686567
"1999",33.5,429.019652436129,0.0298507462686567
"2000",33.5,430.11047133092,0.0298507462686567
"2001",33.5,431.274817471676,0.0298507462686567
